ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Response Threshold,Task Demand,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.0407658995309154,612176,-36249.9143014409,4348
Satisfaction Threshold,Task Demand,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.479126329717104,92241,-6511.91430144088,1995
Composite Threshold,Task Demand,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.551179785313783,118128,-9743.91430144088,864
Random Choice,Task Demand,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,0.79864305186006,0.898686184433391,0.000546683574077109,676736,-2569.91430144088,4924
Response Threshold,Task Completion,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.0622469684980079,607144,-38875.9143014409,3793
Satisfaction Threshold,Task Completion,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.195762097217724,97199,-29931.9143014409,772
Composite Threshold,Task Completion,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,NaN,NaN,0.238603991917914,268927,-20966.9143014409,1166
Random Choice,Task Completion,8,160,0.0025327615723539,0.892478918786319,5.76460014758738,0.485898504621912,0.82277911944698,0.80589532221074,0.899293106423243,0.000547840337350794,680091,-912.914301440876,4921
Response Threshold,Task Demand,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1681902,-89406.2227208582,4026
Satisfaction Threshold,Task Demand,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1066235,-67924.2227208582,4187
Composite Threshold,Task Demand,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1239711,-70197.2227208582,2218
Random Choice,Task Demand,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,0.710648200887167,0.867932369824056,Inf,2297834,4443.77727914182,4879
Response Threshold,Task Completion,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1659094,-106708.222720858,4039
Satisfaction Threshold,Task Completion,1,588,0.00267376189153336,0.684361991186856,1.75262914580567,0.718146376234744,0.604097415183473,NaN,NaN,Inf,1081293,-94147.2227208582,3774
